pds3_path,pds4_path,pds3_product_id,pds4_product_id
cl_3008/bi00_35n/bi10n201.img,/data/basemap/10n/200/,bi10n201,basemap_10n_201e
cl_3008/bi00_35n/bi10n207.img,/data/basemap/10n/200/,bi10n207,basemap_10n_207e
cl_3009/bi00_35n/bi10n213.img,/data/basemap/10n/200/,bi10n213,basemap_10n_213e
cl_3009/bi00_35n/bi10n219.img,/data/basemap/10n/200/,bi10n219,basemap_10n_219e
cl_3009/bi00_35n/bi10n225.img,/data/basemap/10n/200/,bi10n225,basemap_10n_225e
cl_3009/bi00_35n/bi10n231.img,/data/basemap/10n/200/,bi10n231,basemap_10n_231e
cl_3009/bi00_35n/bi10n237.img,/data/basemap/10n/200/,bi10n237,basemap_10n_237e
cl_3010/bi00_35n/bi10n243.img,/data/basemap/10n/200/,bi10n243,basemap_10n_243e
cl_3010/bi00_35n/bi10n249.img,/data/basemap/10n/200/,bi10n249,basemap_10n_249e
cl_3010/bi00_35n/bi10n255.img,/data/basemap/10n/200/,bi10n255,basemap_10n_255e
cl_3010/bi00_35n/bi10n261.img,/data/basemap/10n/200/,bi10n261,basemap_10n_261e
cl_3010/bi00_35n/bi10n267.img,/data/basemap/10n/200/,bi10n267,basemap_10n_267e
cl_3011/bi00_35n/bi10n273.img,/data/basemap/10n/200/,bi10n273,basemap_10n_273e
cl_3011/bi00_35n/bi10n279.img,/data/basemap/10n/200/,bi10n279,basemap_10n_279e
cl_3011/bi00_35n/bi10n285.img,/data/basemap/10n/200/,bi10n285,basemap_10n_285e
cl_3011/bi00_35n/bi10n291.img,/data/basemap/10n/200/,bi10n291,basemap_10n_291e
cl_3011/bi00_35n/bi10n297.img,/data/basemap/10n/200/,bi10n297,basemap_10n_297e
cl_3012/bi00_35n/bi10n303.img,/data/basemap/10n/300/,bi10n303,basemap_10n_303e
cl_3012/bi00_35n/bi10n309.img,/data/basemap/10n/300/,bi10n309,basemap_10n_309e
cl_3012/bi00_35n/bi10n315.img,/data/basemap/10n/300/,bi10n315,basemap_10n_315e
cl_3012/bi00_35n/bi10n321.img,/data/basemap/10n/300/,bi10n321,basemap_10n_321e
cl_3012/bi00_35n/bi10n327.img,/data/basemap/10n/300/,bi10n327,basemap_10n_327e
cl_3013/bi00_35n/bi10n333.img,/data/basemap/10n/300/,bi10n333,basemap_10n_333e
cl_3013/bi00_35n/bi10n339.img,/data/basemap/10n/300/,bi10n339,basemap_10n_339e
cl_3013/bi00_35n/bi10n345.img,/data/basemap/10n/300/,bi10n345,basemap_10n_345e
cl_3013/bi00_35n/bi10n351.img,/data/basemap/10n/300/,bi10n351,basemap_10n_351e
cl_3013/bi00_35n/bi10n357.img,/data/basemap/10n/300/,bi10n357,basemap_10n_357e
cl_3002/bi35_00s/bi10s003.img,/data/basemap/10s/000/,bi10s003,basemap_10s_003e
cl_3002/bi35_00s/bi10s009.img,/data/basemap/10s/000/,bi10s009,basemap_10s_009e
cl_3002/bi35_00s/bi10s015.img,/data/basemap/10s/000/,bi10s015,basemap_10s_015e
cl_3002/bi35_00s/bi10s021.img,/data/basemap/10s/000/,bi10s021,basemap_10s_021e
cl_3002/bi35_00s/bi10s027.img,/data/basemap/10s/000/,bi10s027,basemap_10s_027e
cl_3003/bi35_00s/bi10s033.img,/data/basemap/10s/000/,bi10s033,basemap_10s_033e
cl_3003/bi35_00s/bi10s039.img,/data/basemap/10s/000/,bi10s039,basemap_10s_039e
cl_3003/bi35_00s/bi10s045.img,/data/basemap/10s/000/,bi10s045,basemap_10s_045e
cl_3003/bi35_00s/bi10s051.img,/data/basemap/10s/000/,bi10s051,basemap_10s_051e
cl_3003/bi35_00s/bi10s057.img,/data/basemap/10s/000/,bi10s057,basemap_10s_057e
cl_3004/bi35_00s/bi10s063.img,/data/basemap/10s/000/,bi10s063,basemap_10s_063e
cl_3004/bi35_00s/bi10s069.img,/data/basemap/10s/000/,bi10s069,basemap_10s_069e
cl_3004/bi35_00s/bi10s075.img,/data/basemap/10s/000/,bi10s075,basemap_10s_075e
cl_3004/bi35_00s/bi10s081.img,/data/basemap/10s/000/,bi10s081,basemap_10s_081e
cl_3004/bi35_00s/bi10s087.img,/data/basemap/10s/000/,bi10s087,basemap_10s_087e
cl_3005/bi35_00s/bi10s093.img,/data/basemap/10s/000/,bi10s093,basemap_10s_093e
cl_3005/bi35_00s/bi10s099.img,/data/basemap/10s/000/,bi10s099,basemap_10s_099e
cl_3005/bi35_00s/bi10s105.img,/data/basemap/10s/100/,bi10s105,basemap_10s_105e
cl_3005/bi35_00s/bi10s111.img,/data/basemap/10s/100/,bi10s111,basemap_10s_111e
cl_3005/bi35_00s/bi10s117.img,/data/basemap/10s/100/,bi10s117,basemap_10s_117e
cl_3006/bi35_00s/bi10s123.img,/data/basemap/10s/100/,bi10s123,basemap_10s_123e
cl_3006/bi35_00s/bi10s129.img,/data/basemap/10s/100/,bi10s129,basemap_10s_129e
cl_3006/bi35_00s/bi10s135.img,/data/basemap/10s/100/,bi10s135,basemap_10s_135e
cl_3006/bi35_00s/bi10s141.img,/data/basemap/10s/100/,bi10s141,basemap_10s_141e
cl_3006/bi35_00s/bi10s147.img,/data/basemap/10s/100/,bi10s147,basemap_10s_147e
cl_3007/bi35_00s/bi10s153.img,/data/basemap/10s/100/,bi10s153,basemap_10s_153e
cl_3007/bi35_00s/bi10s159.img,/data/basemap/10s/100/,bi10s159,basemap_10s_159e
cl_3007/bi35_00s/bi10s165.img,/data/basemap/10s/100/,bi10s165,basemap_10s_165e
cl_3007/bi35_00s/bi10s171.img,/data/basemap/10s/100/,bi10s171,basemap_10s_171e
cl_3007/bi35_00s/bi10s177.img,/data/basemap/10s/100/,bi10s177,basemap_10s_177e
cl_3008/bi35_00s/bi10s183.img,/data/basemap/10s/100/,bi10s183,basemap_10s_183e
cl_3008/bi35_00s/bi10s189.img,/data/basemap/10s/100/,bi10s189,basemap_10s_189e
cl_3008/bi35_00s/bi10s195.img,/data/basemap/10s/100/,bi10s195,basemap_10s_195e
