dropped_product,retained_product
aub0276a.023,aub0277a.023
ala0279a.023,ala0278a.023
ane0281a.023,ane0280a.023
aua0283a.023,aua0282a.023
aaa0285a.023,aaa0284a.023
anc0288a.023,anc0287a.023
aba0289a.023,aba0290a.023
and0293a.023,and0292a.023
aaa0295a.023,aaa0296a.023
aha0298a.023,aha0297a.023
anc0300b.023,anc0299a.023
aba0302a.023,aba0301a.023
and0305b.023,and0304b.023
aue0307a.023,aue0306a.023
ahc0309a.023,ahc0308a.023
anb0311b.023,anb0310b.023
aud0313a.023,aud0312a.023
ahd0315a.023,ahd0314a.023
anf0317b.023,anf0316b.023
auc0319a.023,auc0318a.023
ana0321b.023,ana0320b.023
aub0323a.023,aub0322a.023
ala0325a.023,ala0324a.023
ane0327b.023,ane0326b.023
aua0329a.023,aua0328a.023
aaa0331a.023,aaa0330a.023
anc0333b.023,anc0334b.023
aba0336a.023,aba0335a.023
and0339b.023,and0338b.023
aue0341a.023,aue0340a.023
anb0344b.023,anb0343b.023
aud0346a.023,aud0345a.023
ahd0348a.023,ahd0347a.023
anf0350b.023,anf0349b.023
auc0352a.023,auc0351a.023
ana0353b.023,ana0354b.023
aub0356b.023,aub0355a.023
ala0358a.023,ala0357a.023
ane0360b.023,ane0359b.023
aua0362b.023,aua0361b.023
aaa0364a.023,aaa0363a.023
aha0366a.023,aha0365a.023
anc0367b.023,anc0368b.023
aba0369a.023,aba0370a.023
and0372b.023,and0373b.023
aue0375b.023,aue0374b.023
ahc0377a.023,ahc0376a.023
anb0379b.023,anb0378b.023
aud0380b.023,aud0381b.023
ahd0382a.023,ahd0383a.023
anf0385b.023,anf0384b.023
auc0387b.023,auc0386b.023
ana0389b.023,ana0388b.023
aub0390b.023,aub0391b.023
ala0393a.023,ala0392a.023
ane0395b.023,ane0394b.023
aua0396b.023,aua0397b.023
aaa0399a.023,aaa0398a.023
aha0401a.023,aha0400a.023
anc0403b.023,anc0402b.023
aba0405a.023,aba0404a.023
ahb0407a.023,ahb0406a.023
and0409b.023,and0408b.023
aue0411b.023,aue0410b.023
ahc0413a.023,ahc0412a.023
anb0415b.023,anb0414b.023
aud0417b.023,aud0416b.023
